sfid,name,direction
1188,usHSI018,US
1190,usHSI018-LL,US
1191,usHSI018-AQP,US
4193,usHSI018,US
4194,usHSI018-LL,US
4195,usHSI018-AQP,US
9283,dsHSI018,DS
9285,dsHSI018-LL,DS
9286,dsHSI018-AQP,DS
12171,dsHSI018,DS
12172,dsHSI018-LL,DS
12173,dsHSI018-AQP,DS
