timestamp,cluster,cm_mac,node,pod,namespace,fn_name,md_name,rpd_name
2026-04-08 17:57:59.927000,apc01k1dccc,0c:b9:37:64:3a:b0,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Md1:0/0.0,rpd1:0
2026-04-08 17:58:29.927000,apc01k1dccc,0c:b9:37:64:3a:b0,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Md1:0/0.0,rpd1:0
