cluster,node,pod,namespace,fn_name,if_name,md_name,rpd_name,start_value,end_value,delta
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Ds1:0/0/6,Md1:0/0.0,rpd1:0,0.00209934653652767,0.00436859092787638,0.00226924439134871
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Ds1:0/0/7,Md1:0/0.0,rpd1:0,0.00236527361363885,0.00436859092787638,0.00200331731423753
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Ds1:0/0/8,Md1:0/0.0,rpd1:0,6.37052542131293,6.37236475026295,0.001839328950019592
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Ds1:0/0/9,Md1:0/0.0,rpd1:0,0.00389435430702811,0.00436859092787638,0.0004742366208482702
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Oa1:0/0/0,Md1:0/0.0,rpd1:0,0.1,0.1,0.0
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Oa1:0/0/1,Md1:0/0.0,rpd1:0,1.0,1.0,0.0
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Of1:0/0/0,Md1:0/0.0,rpd1:0,0.00181865439435771,0.00280649077084894,0.0009878363764912299
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Of1:0/0/1,Md1:0/0.0,rpd1:0,0.00181865439435771,0.00391371507183238,0.0020950606774746703
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Us1:0/0/0.0,Md1:0/0.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Us1:0/0/1.0,Md1:0/0.0,rpd1:0,0.2,0.2,0.0
apc01k1dccc,ap71-85-92-202,vcmts-cd-0-0,default,fb1:0/0,Us1:0/0/2.0,Md1:0/0.0,rpd1:0,0.2,0.2,0.0
